frame,class,source,azimuth,distance,onscreen
37,7,0,-50,1,1
38,7,0,-50,1,1
39,7,0,-50,1,1
40,7,0,-50,1,1
41,7,0,-50,1,1
42,7,0,-50,1,1
43,7,0,-50,1,1
44,7,0,-50,1,1
45,7,0,-50,1,1
46,7,0,-50,1,1
47,7,0,-50,1,1
48,7,0,-50,1,1
49,7,0,-50,1,1
50,7,0,-50,1,1
51,7,0,-50,1,1
52,7,0,-50,1,1
53,7,0,-50,1,1
54,7,0,-50,1,1
55,7,0,-50,1,1
56,7,0,-50,1,1
57,7,0,-50,1,1
58,7,0,-50,1,1
59,7,0,-50,1,1
60,7,0,-50,1,1
61,7,0,-50,1,1
62,7,0,-50,1,1
63,7,0,-50,1,1
64,7,0,-50,1,1
65,7,0,-50,1,1
66,7,0,-50,1,1
67,7,0,-50,1,1
68,7,0,-50,1,1
69,7,0,-50,1,1
70,7,0,-50,1,1
71,7,0,-50,1,1
72,7,0,-50,1,1
73,7,0,-50,1,1
74,7,0,-50,1,1
75,7,0,-50,1,1
76,7,0,-50,1,1
77,7,0,-50,1,1
78,7,0,-50,1,1
79,7,0,-50,1,1
80,7,0,-50,1,1
81,7,0,-50,1,1
82,7,0,-50,1,1
83,7,0,-50,1,1
84,7,0,-50,1,1
85,7,0,-50,1,1
86,7,0,-50,1,1
87,7,0,-50,1,1
88,7,0,-50,1,1
89,7,0,-50,1,1
90,7,0,-50,1,1
91,7,0,-50,1,1
92,7,0,-50,1,1
93,7,0,-50,1,1
94,7,0,-50,1,1
95,7,0,-50,1,1
96,7,0,-50,1,1
97,7,0,-50,1,1
98,7,0,-50,1,1
99,7,0,-50,1,1
100,7,0,-50,1,1
101,7,0,-50,1,1
102,7,0,-50,1,1
103,7,0,-50,1,1
104,7,0,-50,1,1
105,7,0,-50,1,1
106,7,0,-50,1,1
107,7,0,-50,1,1
108,7,0,-50,1,1
109,7,0,-50,1,1
110,7,0,-50,1,1
111,7,0,-50,1,1
112,7,0,-50,1,1
113,7,0,-50,1,1
114,7,0,-50,1,1
115,7,0,-50,1,1
116,7,0,-50,1,1
117,7,0,-50,1,1
118,7,0,-50,1,1
119,7,0,-50,1,1
120,7,0,-50,1,1
121,7,0,-50,1,1
122,7,0,-50,1,1
123,7,0,-50,1,1
124,7,0,-50,1,1
125,7,0,-50,1,1
126,7,0,-50,1,1
127,7,0,-50,1,1
128,7,0,-50,1,1
129,7,0,-50,1,1
130,7,0,-50,1,1
131,7,0,-50,1,1
132,7,0,-50,1,1
133,7,0,-50,1,1
134,7,0,-50,1,1
135,7,0,-50,1,1
136,7,0,-50,1,1
137,7,0,-50,1,1
138,7,0,-50,1,1
139,7,0,-50,1,1
140,7,0,-50,1,1
141,7,0,-50,1,1
142,7,0,-50,1,1
143,7,0,-50,1,1
144,7,0,-50,1,1
145,7,0,-50,1,1
146,7,0,-50,1,1
147,7,0,-50,1,1
148,7,0,-50,1,1
149,7,0,-50,1,1
150,7,0,-50,1,1
151,7,0,-50,1,1
152,7,0,-50,1,1
153,7,0,-50,1,1
154,7,0,-50,1,1
155,7,0,-50,1,1
156,7,0,-50,1,1
157,7,0,-50,1,1
158,7,0,-50,1,1
159,7,0,-50,1,1
160,7,0,-50,1,1
161,7,0,-50,1,1
162,7,0,-50,1,1
163,7,0,-50,1,1
164,7,0,-50,1,1
165,7,0,-50,1,1
166,7,0,-50,1,1
167,7,0,-50,1,1
168,7,0,-50,1,1
169,7,0,-50,1,1
170,7,0,-50,1,1
171,7,0,-50,1,1
172,7,0,-50,1,1
173,7,0,-50,1,1
174,7,0,-50,1,1
175,7,0,-50,1,1
176,7,0,-50,1,1
177,7,0,-50,1,1
178,7,0,-50,1,1
179,7,0,-50,1,1
180,7,0,-50,1,1
181,7,0,-50,1,1
182,7,0,-50,1,1
183,7,0,-50,1,1
184,7,0,-50,1,1
185,7,0,-50,1,1
186,7,0,-50,1,1
187,7,0,-50,1,1
191,7,0,67,1,1
192,7,0,67,1,1
193,7,0,67,1,1
194,7,0,67,1,1
195,7,0,67,1,1
196,7,0,67,1,1
197,7,0,67,1,1
198,7,0,67,1,1
199,7,0,67,1,1
200,7,0,67,1,1
201,7,0,67,1,1
202,7,0,67,1,1
203,7,0,67,1,1
204,7,0,67,1,1
205,7,0,67,1,1
206,7,0,67,1,1
207,7,0,67,1,1
208,7,0,67,1,1
209,7,0,67,1,1
210,7,0,67,1,1
211,7,0,67,1,1
212,7,0,67,1,1
213,7,0,67,1,1
214,7,0,67,1,1
215,7,0,67,1,1
216,7,0,67,1,1
217,7,0,67,1,1
218,7,0,67,1,1
219,7,0,67,1,1
220,7,0,67,1,1
221,7,0,67,1,1
222,7,0,67,1,1
223,7,0,67,1,1
224,7,0,67,1,1
225,7,0,67,1,1
226,7,0,67,1,1
227,7,0,67,1,1
228,7,0,67,1,1
229,7,0,67,1,1
230,7,0,67,1,1
231,7,0,67,1,1
232,7,0,67,1,1
233,7,0,67,1,1
234,7,0,67,1,1
235,7,0,67,1,1
236,7,0,67,1,1
237,7,0,67,1,1
238,7,0,67,1,1
239,7,0,67,1,1
240,7,0,67,1,1
241,7,0,67,1,1
242,7,0,67,1,1
243,7,0,67,1,1
244,7,0,67,1,1
245,7,0,67,1,1
246,7,0,67,1,1
247,7,0,67,1,1
248,7,0,67,1,1
249,7,0,67,1,1
250,7,0,67,1,1
251,7,0,67,1,1
252,7,0,67,1,1
253,7,0,67,1,1
254,7,0,67,1,1
255,7,0,67,1,1
256,7,0,67,1,1
257,7,0,67,1,1
258,7,0,67,1,1
259,7,0,67,1,1
260,7,0,67,1,1
261,7,0,67,1,1
262,7,0,67,1,1
263,7,0,67,1,1
264,7,0,67,1,1
265,7,0,67,1,1
266,7,0,67,1,1
